Desc	Family ID	Mus_musculus	Cavia_porcellus	Dipodomys_ordii	Heterocephalus_glaber	Octodon_degus	Chinchilla_lanigera	Microtus_ochrogaster	Nannospalax_galili	Marmota_marmota	Castor_canadensis	Meriones_unguiculatus	Urocitellus_parryii	Cricetulus_griseus	Marmota_flaviventris	Peromyscus_maniculatus	Peromyscus_leucopus	Grammomys_surdaster	Mastomys_coucha	Rattus_rattus	Arvicanthis_niloticus	Fukomys_damarensis	Microtus_fortis	Rattus_norvegicus	Ictidomys_tridecemlineatus	Mesocricetus_auratus	Microtus_oregoni	Dipodomys_spectabilis	Jaculus_jaculus	Marmota_monax	Perognathus_longimembris	Mus_caroli	Mus_pahari	Neosciurus_carolinensis	Myodes_glareolus	Arvicola_amphibius	Onychomys_torridus	MGP_CASTEiJ	Mus_spicilegus	MGP_SPRETEiJ	Oryctolagus_cuniculus	Sciurus_vulgaris	Spermophilus_dauricus
(null)	112	21	8	9	9	4	10	11	9	11	7	12	11	5	8	10	17	12	10	14	9	7	11	14	9	12	8	9	8	5	12	19	13	16	6	7	10	22	14	21	9	11	10	
(null)	113	19	11	13	7	11	12	13	8	8	11	12	7	13	10	15	16	12	13	12	15	7	19	9	12	19	15	9	12	11	10	17	16	17	15	10	11	0	0	0	13	0	0	
(null)	114	9	16	10	9	13	14	9	5	17	13	9	16	11	15	12	11	9	9	8	10	13	10	9	16	10	10	11	9	16	14	10	8	17	8	8	11	8	8	7	17	8	4	
(null)	115	13	11	14	7	7	8	3	8	19	5	8	14	15	18	9	9	12	8	14	13	9	10	23	13	11	12	14	5	15	16	10	14	8	8	10	16	14	10	15	9	0	0	
(null)	116	13	27	9	3	23	8	12	6	10	11	6	9	11	9	14	16	20	12	15	14	7	12	16	17	7	14	5	4	10	7	11	18	2	7	15	14	13	13	8	4	2	3	
(null)	117	13	8	6	22	16	14	7	16	19	5	8	15	9	19	7	10	12	8	12	10	22	8	13	16	7	9	5	3	18	5	10	12	32	9	9	6	7	10	4	10	3	2	
(null)	118	10	8	13	6	13	16	10	4	8	8	14	7	8	10	10	9	9	5	12	11	9	14	10	10	16	14	16	14	11	13	7	8	11	10	11	12	25	14	15	6	8	11	
(null)	119	9	11	7	8	8	8	11	14	11	10	9	11	29	13	11	13	6	9	8	10	8	6	13	6	12	10	8	9	11	9	8	13	14	9	10	11	20	14	18	9	12	9	
(null)	120	13	8	6	1	5	6	9	9	3	13	20	7	6	6	7	5	8	12	10	11	1	6	11	9	3	5	7	18	8	7	8	6	5	10	8	9	40	45	38	7	23	13	
(null)	121	10	8	10	8	10	9	8	11	10	8	8	9	4	13	6	8	8	11	11	12	6	6	14	9	3	9	11	6	10	8	6	7	6	14	14	7	29	28	26	7	25	19	
(null)	122	12	8	12	5	7	10	12	9	6	9	11	10	8	8	9	8	8	12	8	10	9	17	12	10	6	17	9	7	7	6	12	12	7	8	13	8	21	29	19	12	15	12	
